State,District,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
BOKARO,BOKARO,0.48,16.08,83.45,45.87,53.39,0.74,6.98,89.89,3.12,6.61,36.75,56.64,0,76.48,23.52,100,0,96.61,3.39,99.68,0.32,98.83,1.17,100,0,19.82,80.18,99.89,0.11
CHATRA,CHATRA,0.02,67.71,32.27,38.06,60.07,1.87,29.2,63.6,7.2,0.65,35.64,63.71,0,35.01,64.99,100,0,96.03,3.97,97.34,2.66,74.23,25.77,96.33,3.67,44.49,55.51,99.66,0.34
DEOGHAR,DEOGHAR,0,88.25,11.75,6.57,88.15,5.29,0,98.26,1.74,14.94,78.25,6.81,0,21.75,78.25,100,0,62.25,37.75,99.98,0.02,93.02,6.98,100,0,72.22,27.78,100,0
DHANBAD,DHANBAD,0.81,50.77,48.42,9.65,47.24,43.11,2.35,87.09,10.57,36.36,26.65,36.98,0.08,37.87,62.05,96.17,3.83,79.87,20.13,99.33,0.67,95.31,4.69,99.68,0.32,53.9,46.1,98.27,1.73
DUMKA,DUMKA,0,42,58,1.8,57.1,41.1,0.21,53.76,46.03,10.96,53.65,35.38,0,41.26,58.74,100,0,55.72,44.28,85.06,14.94,53.92,46.08,100,0,54.29,45.71,91.74,8.26
EAST SINGHBUM,EAST SINGHBUM,0.43,42.38,57.19,33.61,65.51,0.88,1.89,82.31,15.8,18.35,35.58,46.07,0.05,58.57,41.38,99.95,0.05,95.87,4.13,99.98,0.02,87.72,12.28,99.2,0.8,73.56,26.44,100,0
GARHWA,GARHWA,0,25.74,74.26,15.58,76.58,7.84,1.83,75.4,22.76,12.59,52.49,34.92,0,1.7,98.3,99.15,0.85,91.84,8.16,99.64,0.36,58.7,41.3,98.85,1.15,60.47,39.53,98.98,1.02
GIRIDIH,GIRIDIH,0.04,49.51,50.44,20.87,72.2,6.93,8.47,75.07,16.46,37.4,44.64,17.97,1.41,23.87,74.71,94.7,5.3,63.59,36.41,87.51,12.49,86.58,13.42,95.72,4.28,76.57,23.43,88.39,11.61
GODDA,GODDA,0,60.8,39.2,80.6,15.72,3.68,0.34,66.11,33.56,18.94,17.28,63.79,0,24.17,75.83,98.34,1.66,38.05,61.95,94.58,5.42,70.51,29.49,100,0,72.45,27.55,96.26,3.74
GUMLA,GUMLA,0.14,74.57,25.29,5.05,81.47,13.48,2.48,89.22,8.3,9.65,77.11,13.24,0.01,43.33,56.65,99.86,0.14,75.56,24.44,99.81,0.19,86.9,13.1,99.92,0.08,73.77,26.23,99.79,0.21
HAZARIBAGH,HAZARIBAGH,0.03,47.57,52.4,0.21,21.57,78.22,1.1,92.67,6.23,29.99,29.56,40.45,0,57.35,42.65,100,0,83.48,16.52,99.97,0.03,98.95,1.05,100,0,94.12,5.88,100,0
JAMTARA,JAMTARA,0,81.09,18.91,1.44,79.29,19.27,0.04,82.76,17.2,18.03,73.66,8.31,0,85.32,14.68,100,0,58.64,41.36,100,0,82.83,17.17,100,0,69.7,30.3,100,0
KHUNTI,KHUNTI,0,7.32,92.68,0,7.32,92.68,0,2.44,97.56,0,97.56,2.44,0,100,0,100,0,9.76,90.24,100,0,97.56,2.44,100,0,12.2,87.8,97.56,2.44
KODERMA,KODERMA,0.06,88.75,11.19,0.06,77.78,22.16,7.42,88.81,3.77,26.69,71.66,1.66,0,4.45,95.55,99.77,0.23,71.73,28.27,99.89,0.11,84.01,15.99,99.94,0.06,85.66,14.34,99.94,0.06
LATEHAR,LATEHAR,4.49,82.43,13.08,15.43,34.57,50,13.58,70.64,15.79,30.58,52.56,16.86,0,24.23,75.77,100,0,11.91,88.09,100,0,93.42,6.58,100,0,15.82,84.18,100,0
LOHARDAGA,LOHARDAGA,0,23.21,76.79,79.89,17.72,2.39,3.09,47.68,49.23,10.85,33.38,55.77,0,40.08,59.92,100,0,94.8,5.2,95.07,4.93,99.3,0.7,99.01,0.99,74.12,25.88,99.3,0.7
PAKUR,PAKUR,0,83.53,16.47,0.16,87.97,11.86,0,92.09,7.91,17.46,78.09,4.45,0,29,71,100,0,58.81,41.19,100,0,82.21,17.79,100,0,64.36,35.64,100,0
PALAMU,PALAMU,0.07,48.61,51.33,26.14,71.71,2.15,3.59,81.71,14.7,34.35,38.01,27.64,2.29,2.62,95.09,99.16,0.84,96.61,3.39,86.04,13.96,85.67,14.33,99.3,0.7,84.04,15.96,81.05,18.95
RAMGARH,RAMGARH,0,19.54,80.46,0.09,39.41,60.5,2.07,90.87,7.06,14.21,13.01,72.78,0,45.01,54.99,100,0,94.58,5.42,99.91,0.09,98.11,1.89,100,0,46.13,53.87,100,0
RANCHI,RANCHI,0,67.62,32.38,1.23,62.7,36.07,0.82,83.2,15.98,41.8,37.3,20.9,0,39.92,60.08,100,0,97.95,2.05,100,0,100,0,100,0,71.72,28.28,100,0
SAHEBGANJ,SAHEBGANJ,1.94,97.57,0.5,95.13,4.72,0.15,0.89,98.31,0.79,86.04,13.41,0.55,0.05,3.87,96.08,100,0,99.75,0.25,99.9,0.1,99.06,0.94,99.9,0.1,99.16,0.84,96.97,3.03
SARAIKELA KHARSAWAN,SARAIKELA KHARSAWAN,1.88,56.61,41.52,14.8,80.38,4.83,10.68,77.57,11.75,29.81,45.95,24.23,0,70.99,29.01,100,0,83.5,16.5,99.93,0.07,77.49,22.51,98.51,1.49,61.72,38.28,96.41,3.59
SIMDEGA,SIMDEGA,0,8.63,91.37,32.26,67.5,0.24,19.76,75.09,5.14,1.18,8.77,90.05,0,74.2,25.8,100,0,95.99,4.01,100,0,84.72,15.28,99.1,0.9,48.07,51.93,100,0
WEST SINGHBHUM,WEST SINGHBHUM,0,89.8,10.2,0.13,89.16,10.71,4.85,77.33,17.82,17.36,65.49,17.15,0,37.04,62.96,100,0,98.38,1.62,99.95,0.05,99.49,0.51,100,0,94.65,5.35,100,0